"English","Hindi"
"Please form a queue while boarding and deboarding. Allow passengers to alight before you board.","चढ़ने और उतरने के समय कृपया कतार बनाएं। पहले यात्रियों को उतरने दें उसके बाद ही चढ़ें।"
"Do not run on platforms escalators or travelators. Hold the handrail and supervise children.","प्लेटफॉर्म एस्केलेटर और ट्रैवलेटर पर दौड़ें नहीं। हैंडरेल पकड़ें और बच्चों पर नज़र रखें।"
"Only bonafide passengers with valid tickets are allowed beyond this point.","इस बिंदु के आगे केवल वैध टिकट वाले वास्तविक यात्रियों को ही प्रवेश की अनुमति है।"
"Use designated entry and exit gates and cooperate with access control procedures.","निर्धारित प्रवेश और निकास द्वारों का ही उपयोग करें और प्रवेश नियंत्रण प्रक्रियाओं में सहयोग करें।"
"Please keep volume of mobile phones low and avoid loud conversations in waiting and seating areas.","कृपया मोबाइल फोन की आवाज़ कम रखें और प्रतीक्षालय तथा बैठने वाले क्षेत्रों में ऊँची आवाज़ में बातचीत से बचें।"
"Keep your luggage with you at all times. The railway/airport will not be responsible for loss of unattended baggage.","अपना सामान हमेशा अपने साथ रखें। बिना निगरानी छोड़े गए सामान की हानि के लिए रेलवे/एयरपोर्ट जिम्मेदार नहीं होगा।"
"Oversized and heavy baggage must be checked in or booked through the parcel office as per rules.","बड़े आकार या अधिक वज़न वाले सामान को नियमों के अनुसार चेक-इन या पार्सल कार्यालय के माध्यम से बुक कराना अनिवार्य है।"
"Please check baggage tags and identification before leaving the platform or baggage claim area.","प्लेटफॉर्म या बैगेज क्लेम क्षेत्र छोड़ने से पहले कृपया बैगेज टैग और पहचान की जांच कर लें।"
"Do not leave trolleys on slopes ramps or in front of lifts and emergency exits.","ट्रॉली को ढलान रैम्प या लिफ्ट और आपातकालीन निकास के सामने न छोड़ें।"
"Priority seating is reserved for senior citizens pregnant women and differently‑abled passengers. Please offer your seat.","प्राथमिकता वाली सीटें वरिष्ठ नागरिकों गर्भवती महिलाओं और दिव्यांग यात्रियों के लिए आरक्षित हैं। कृपया अपनी सीट दे दें।"
"Wheelchair assistance and buggy services are available on request. Contact the help desk for support.","व्हीलचेयर सहायता और बग्गी सेवा अनुरोध पर उपलब्ध है। सहायता के लिए हेल्प डेस्क से संपर्क करें।"
"Use lifts and ramps designated for passengers with reduced mobility. Do not block these areas.","कम गतिशीलता वाले यात्रियों के लिए निर्धारित लिफ्ट और रैम्प का उपयोग करें। इन क्षेत्रों को अवरुद्ध न करें।"
"Train and flight timings are subject to change. Please follow latest information on electronic display boards and announcements.","ट्रेन और उड़ान के समय परिवर्तन के अधीन हैं। कृपया नवीनतम जानकारी के लिए इलेक्ट्रॉनिक डिस्प्ले बोर्ड और उद्घोषणाओं पर ध्यान दें।"
"In case of delay or rescheduling passengers are requested to remain calm and follow instructions issued by staff.","विलंब या पुनर्निर्धारण की स्थिति में यात्रियों से अनुरोध है कि शांत रहें और कर्मचारियों द्वारा दिए गए निर्देशों का पालन करें।"
"Inconvenience caused due to operational or weather‑related delays is regretted.","परिचालन या मौसम संबंधी देरी से होने वाली असुविधा के लिए खेद है।"
"For information regarding connecting services gates and platforms please contact the information counter.","कनेक्टिंग सेवाओं गेट और प्लेटफॉर्म से संबंधित जानकारी के लिए कृपया सूचना काउंटर से संपर्क करें।"
"For lost property please contact the Lost & Found office with detailed description of the item and proof of identity.","खोए हुए सामान के लिए कृपया वस्तु का विस्तृत विवरण और पहचान प्रमाण के साथ लॉस्ट एंड फाउंड कार्यालय से संपर्क करें।"
"Passengers can register feedback or complaints at the Customer Care counter or through the official mobile app.","यात्री अपनी शिकायतें या सुझाव कस्टमर केयर काउंटर पर या आधिकारिक मोबाइल ऐप के माध्यम से दर्ज कर सकते हैं।"
"Abusive behaviour harassment or misbehaviour with staff or fellow passengers will not be tolerated.","कर्मचारियों या सहयात्रियों के साथ अभद्र व्यवहार उत्पीड़न या दुर्व्यवहार बर्दाश्त नहीं किया जाएगा।"
"In case of medical emergency contact the nearest staff member or dial the emergency helpline number displayed on the boards.","चिकित्सीय आपातकाल की स्थिति में नज़दीकी कर्मचारी से संपर्क करें या बोर्ड पर प्रदर्शित आपातकालीन हेल्पलाइन नंबर पर कॉल करें।"
"Do not crowd around accident or incident sites. Allow emergency and security personnel to reach and operate.","दुर्घटना या किसी घटना स्थल के आसपास भीड़ न लगाएं। आपातकालीन और सुरक्षा कर्मियों को वहाँ पहुँचने और कार्य करने दें।"
"Emergency exits and fire extinguishers must be kept clear at all times. Do not place luggage or sit near these points.","आपातकालीन निकास और अग्निशामक हर समय खाली रखें। इनके पास सामान न रखें और न ही बैठें।"
"In case of fire do not use lifts. Use stairways and follow staff instructions.","आग लगने की स्थिति में लिफ्ट का उपयोग न करें। सीढ़ियों का उपयोग करें और कर्मचारियों के निर्देशों का पालन करें।"
"This is a public announcement: please remain vigilant report any irregular activity and travel safely.","यह सार्वजनिक घोषणा है: कृपया सतर्क रहें किसी भी असामान्य गतिविधि की सूचना दें और सुरक्षित यात्रा करें।"
"Due to operational reasons some trains and flights may be delayed or rescheduled. Passengers are requested to check the latest status before starting their journey.","परिचालन कारणों से कुछ ट्रेनें और उड़ानें विलंबित या पुनर्निर्धारित हो सकती हैं। यात्रियों से अनुरोध है कि यात्रा शुरू करने से पहले नवीनतम स्थिति अवश्य जांच लें।"
"In case of delayed arrival of your train or bus kindly stay updated through electronic display boards public announcements and official mobile applications.","आपकी ट्रेन या बस के विलंबित आगमन की स्थिति में कृपया इलेक्ट्रॉनिक डिस्प्ले बोर्ड सार्वजनिक उद्घोषणाओं और आधिकारिक मोबाइल ऐप्स के माध्यम से अपडेट लेते रहें।"
"The management regrets the inconvenience caused due to late running of services on account of congestion maintenance blocks or adverse weather conditions.","भीड़भाड़ मेंटेनेंस ब्लॉक या प्रतिकूल मौसम की स्थिति के कारण सेवाओं के विलंबित संचालन से होने वाली असुविधा के लिए प्रबंधन खेद व्यक्त करता है।"
"Passengers with onward connections are advised to contact the information counter or helpline for assistance in case of major delays.","जिन यात्रियों की आगे की कनेक्टिंग सेवाएँ हैं उनसे अनुरोध है कि बड़े विलंब की स्थिति में सहायता के लिए सूचना काउंटर या हेल्पलाइन से संपर्क करें।"
"During prolonged delays essential information regarding platform changes bay numbers and revised departure timings will be displayed from time to time.","लंबे विलंब की स्थिति में प्लेटफॉर्म परिवर्तन बे नंबर और संशोधित प्रस्थान समय से संबंधित महत्वपूर्ण जानकारी समय‑समय पर प्रदर्शित की जाएगी।"
"In case of cancellation of services passengers may claim refund as per rules through ticket counters authorized agents or online portals.","सेवाएँ रद्द होने की स्थिति में यात्री नियमों के अनुसार टिकट काउंटर अधिकृत एजेंट या ऑनलाइन पोर्टल के माध्यम से धनवापसी ले सकते हैं।"
"For real‑time running status of your train you may use the integrated railway helpline 139 or authorized digital platforms.","अपनी ट्रेन की वास्तविक समय की स्थिति जानने के लिए आप एकीकृत रेलवे हेल्पलाइन 139 या अधिकृत डिजिटल प्लेटफॉर्म का उपयोग कर सकते हैं।"
"Passengers are requested to arrive at the bus stand at least 30 minutes before the scheduled departure time of their service.","यात्रियों से अनुरोध है कि वे अपनी बस सेवा के निर्धारित प्रस्थान समय से कम से कम 30 मिनट पहले बस अड्डे पर पहुँचें।"
"Platforms and bays are subject to change. Kindly follow instructions displayed on notice boards and LED screens at the bus terminal.","प्लेटफॉर्म और बे में परिवर्तन हो सकता है। कृपया बस टर्मिनल पर लगाए गए नोटिस बोर्ड और एलईडी स्क्रीन पर प्रदर्शित निर्देशों का पालन करें।"
"State Transport buses may be delayed due to traffic congestion road works or weather conditions. Inconvenience caused is deeply regretted.","राज्य परिवहन बसें ट्रैफिक जाम सड़क निर्माण कार्य या मौसम की स्थिति के कारण विलंबित हो सकती हैं। हुई असुविधा के लिए गहरा खेद है।"
"Please do not board or alight from a moving bus and always use designated stops and bays.","कृपया चलती बस में चढ़ने या उतरने का प्रयास न करें और हमेशा निर्धारित स्टॉप एवं बे का ही उपयोग करें।"
"Passengers must collect printed tickets or e‑tickets for all bus journeys and retain them for inspection until the end of the trip.","यात्रियों के लिए सभी बस यात्राओं हेतु प्रिंटेड टिकट या ई‑टिकट लेना अनिवार्य है तथा निरीक्षण के लिए यात्रा समाप्त होने तक टिकट अपने पास रखें।"
"Only authorized personnel are allowed inside the bus depot and maintenance area. Entry of unauthorised persons is strictly prohibited.","बस डिपो और मेंटेनेंस क्षेत्र में केवल अधिकृत व्यक्तियों को ही प्रवेश की अनुमति है। अनधिकृत व्यक्तियों का प्रवेश सख्त वर्जित है।"
"Please keep your baggage on the racks or in the luggage compartment and do not block the aisle or emergency exits.","कृपया अपना सामान रैक पर या लगेज कम्पार्टमेंट में रखें और बीच के रास्ते या आपातकालीन निकास को अवरुद्ध न करें।"
"Reserved seats in buses are meant for women senior citizens and persons with disabilities. Kindly vacate these seats on request.","बसों में आरक्षित सीटें महिलाओं वरिष्ठ नागरिकों और दिव्यांग व्यक्तियों के लिए हैं। ऐसे यात्रियों के अनुरोध पर कृपया सीट छोड़ दें।"
"For all railway enquiries complaints security or medical assistance during train travel please use the integrated railway helpline number 139 (24x7).","सभी रेलवे जानकारी शिकायत सुरक्षा या चिकित्सीय सहायता के लिए यात्रा के दौरान कृपया एकीकृत रेलवे हेल्पलाइन नंबर 139 (24x7) का उपयोग करें।"
"For general tourism and travel‑related assistance within India you may call the 24x7 toll‑free Tourist Helpline 1800‑11‑1363 or short code 1363.","भारत के भीतर सामान्य पर्यटन एवं यात्रा संबंधी सहायता के लिए आप 24x7 टोल‑फ्री टूरिस्ट हेल्पलाइन 1800‑11‑1363 या शॉर्ट कोड 1363 पर कॉल कर सकते हैं।"
"In case of any highway‑related emergency involving buses or private vehicles please contact the National Highway Helpline number 1033.","बसों या निजी वाहनों से संबंधित किसी भी राष्ट्रीय राजमार्ग आपातकाल की स्थिति में कृपया नेशनल हाईवे हेल्पलाइन नंबर 1033 पर संपर्क करें।"
"For ticketing catering and online booking support passengers can contact IRCTC customer care toll‑free number 1800‑111‑139.","टिकटिंग भोजन व्यवस्था और ऑनलाइन बुकिंग सहायता के लिए यात्री आईआरसीटीसी कस्टमर केयर के टोल‑फ्री नंबर 1800‑111‑139 पर संपर्क कर सकते हैं।"
"For security‑related issues on trains or at stations you may also contact the Railway Protection Force through the designated helpline as displayed locally.","ट्रेनों या स्टेशनों पर सुरक्षा से संबंधित समस्याओं के लिए आप स्थानीय रूप से प्रदर्शित निर्धारित हेल्पलाइन के माध्यम से रेलवे प्रोटेक्शन फोर्स से भी संपर्क कर सकते हैं।"
"Important: Misuse of emergency and helpline numbers is a punishable offence and may lead to disconnection and legal action.","महत्वपूर्ण: आपातकालीन और हेल्पलाइन नंबरों का दुरुपयोग दंडनीय अपराध है और इससे कनेक्शन बंद होने के साथ‑साथ कानूनी कार्रवाई भी हो सकती है।"
"Please save important helpline numbers on your mobile phone before starting your journey for quick access during emergencies.","आपातकालीन परिस्थिति में तुरंत मदद पाने के लिए कृपया यात्रा शुरू करने से पहले अपने मोबाइल फोन में महत्वपूर्ण हेल्पलाइन नंबर सेव कर लें।"
"Passengers are requested to strictly follow all rules and regulations displayed on notice boards and electronic screens within the station and terminal premises.","यात्रियों से अनुरोध है कि स्टेशन और टर्मिनल परिसर में नोटिस बोर्ड तथा इलेक्ट्रॉनिक स्क्रीन पर प्रदर्शित सभी नियमों और विनियमों का सख्ती से पालन करें।"
"Entry to platforms concourse and security‑hold areas is permitted only with valid travel tickets or authorized passes.","प्लेटफॉर्म कंकर्स और सिक्योरिटी होल्ड क्षेत्रों में प्रवेश केवल वैध यात्रा टिकट या अधिकृत पास के साथ ही अनुमन्य है।"
"Passengers must carry a government‑issued photo identity card and produce it on demand by authorized officials.","यात्रियों को सरकार द्वारा जारी फोटो पहचान पत्र साथ रखना अनिवार्य है तथा अधिकृत अधिकारियों द्वारा मांग किए जाने पर प्रस्तुत करना होगा।"
"Unauthorized vending begging or solicitation within railway airport and bus‑terminal premises is strictly prohibited.","रेलवे एयरपोर्ट और बस टर्मिनल परिसर के भीतर अवैध ठेला‑वेंडिंग भीख मांगना या किसी प्रकार की जबरन मांग सख्ती से वर्जित है।"
"Consumption of alcohol and intoxicating substances is not allowed in public areas of stations terminals and on board.","स्टेशनों टर्मिनलों और वाहनों के सार्वजनिक क्षेत्रों में शराब या नशीले पदार्थों का सेवन अनुमन्य नहीं है।"
"Playing loud music causing nuisance or disturbing co‑passengers and staff will invite disciplinary and legal action.","तेज संगीत बजाना उत्पात करना या सहयात्रियों तथा कर्मचारियों को परेशान करना अनुशासनात्मक एवं कानूनी कार्रवाई को आमंत्रित करेगा।"
"Posters banners and advertisements may not be displayed without prior written permission of the competent authority.","सक्षम प्राधिकारी की पूर्व लिखित अनुमति के बिना किसी भी प्रकार के पोस्टर बैनर या विज्ञापन प्रदर्शित करना अनुमन्य नहीं है।"
"Trespassing on tracks restricted zones airside areas or maintenance depots is a serious offence.","पटरियों प्रतिबंधित क्षेत्रों एयरसाइड ज़ोन या मेंटेनेंस डिपो में अनधिकृत प्रवेश गंभीर अपराध है।"
"Only authorized taxis buses and transport operators are permitted to pick up and drop passengers from designated zones.","केवल अधिकृत टैक्सी बसें और परिवहन संचालक ही निर्धारित क्षेत्रों से यात्रियों को लेने और छोड़ने के लिए अधिकृत हैं।"
"Use of abusive language threats or physical assault against staff or fellow passengers will not be tolerated.","कर्मचारियों या सहयात्रियों के प्रति गाली‑गलौज धमकी या शारीरिक हमला किसी भी स्थिति में बर्दाश्त नहीं किया जाएगा।"
"Filming or photography for commercial purposes requires prior written approval from the concerned authority.","वाणिज्यिक उद्देश्यों के लिए फिल्मांकन या फोटोग्राफी हेतु संबंधित प्राधिकारी से पूर्व लिखित अनुमति आवश्यक है।"
"Children must be accompanied by parents or guardians at all times; authorities will not be responsible for unattended minors.","बच्चों को हर समय माता‑पिता या अभिभावक के साथ रहना चाहिए; बिना निगरानी बच्चों के लिए प्राधिकरण जिम्मेदार नहीं होगा।"
"Use of skateboards bicycles or similar equipment inside concourse platforms and terminal buildings is prohibited.","कंकर्स प्लेटफॉर्म और टर्मिनल भवनों के अंदर स्केटबोर्ड साइकिल या इसी प्रकार के उपकरणों का उपयोग प्रतिबंधित है।"
"Vendors and service providers must carry valid identity cards and authorization documents while on duty.","वेंडर और सेवा प्रदाताओं के लिए ड्यूटी के दौरान वैध पहचान पत्र और प्राधिकरण दस्तावेज रखना अनिवार्य है।"
"Parking of vehicles must strictly follow the instructions displayed in the parking area; unauthorised parking may result in towing and fines.","वाहनों की पार्किंग पार्किंग क्षेत्र में प्रदर्शित निर्देशों के अनुसार ही करें; अनधिकृत पार्किंग पर वाहन को टो किया जा सकता है और जुर्माना लगाया जा सकता है।"
"All found items should be immediately handed over to the nearest staff member or deposited at the Lost & Found office.","किसी भी वस्तु के मिलने पर उसे तुरंत नज़दीकी कर्मचारी को सौंपें या लॉस्ट एंड फाउंड कार्यालय में जमा करें।"
"Passengers who have lost any belongings are requested to register a report with complete details at the Lost & Found counter.","जिन यात्रियों की कोई वस्तु खो गई हो वेसे अनुरोध है कि पूर्ण विवरण के साथ लॉस्ट एंड फाउंड काउंटर पर रिपोर्ट दर्ज करें।"
"To claim a lost item passengers must produce a valid identity proof and give satisfactory description of the article.","खोई हुई वस्तु प्राप्त करने के लिए यात्रियों को वैध पहचान प्रमाण प्रस्तुत करना होगा और वस्तु का संतोषजनक विवरण देना होगा।"
"Perishable items and unclaimed goods may be disposed of after a limited retention period as per rules.","नष्ट‑होने योग्य वस्तुओं और बिना दावे के सामान को नियमों के अनुसार सीमित अवधि के बाद निपटाया जा सकता है।"
"The administration will take reasonable care of deposited items but will not be liable for any natural wear tear or deterioration.","प्रशासन जमा की गई वस्तुओं की उचित देखभाल करेगा परंतु प्राकृतिक क्षति घिसावट या खराब होने के लिए उत्तरदायी नहीं होगा।"
"High‑value items such as jewellery laptops and wallets will be released only after detailed verification and necessary documentation.","आभूषण लैपटॉप और बटुए जैसी उच्च मूल्य की वस्तुएं विस्तृत सत्यापन और आवश्यक दस्तावेजी प्रक्रिया के बाद ही जारी की जाएंगी।"
"Duplicate or false claims over the same item will be treated as a serious offence and may invite legal action.","किसी वस्तु पर झूठा या दोहरा दावा गंभीर अपराध माना जाएगा और उस पर कानूनी कार्रवाई की जा सकती है।"
"For enquiries related to lost property passengers may contact the Lost & Found office during working hours or use the official helpline.","खोई हुई वस्तुओं से संबंधित जानकारी के लिए यात्री कार्य समय के दौरान लॉस्ट एंड फाउंड कार्यालय से संपर्क कर सकते हैं या आधिकारिक हेल्पलाइन का उपयोग कर सकते हैं।"
"Please ensure that baggage tags labels and name stickers are properly attached to your luggage to facilitate identification.","कृपया अपने सामान पर बैगेज टैग लेबल और नाम‑पर्ची ठीक से चिपकाएँ ताकि पहचान में सुविधा हो।"
"The station/airport/bus authority will not be responsible for cash or valuables kept in unlocked or unattended baggage.","खुले या बिना निगरानी छोड़े गए सामान में रखी नकदी या कीमती वस्तुओं के लिए स्टेशन/एयरपोर्ट/बस प्राधिकरण जिम्मेदार नहीं होगा।"
"Audio and CCTV recordings may be referred to by authorities while investigating lost and found cases.","लॉस्ट एंड फाउंड मामलों की जांच के दौरान प्राधिकरण ऑडियो एवं सीसीटीवी रिकॉर्डिंग का उपयोग कर सकते हैं।"
"Notice: The Lost & Found office will remain closed on public holidays and will operate with limited staff on weekends.","सूचना: लॉस्ट एंड फाउंड कार्यालय सार्वजनिक अवकाशों पर बंद रहेगा तथा सप्ताहांत पर सीमित कर्मचारियों के साथ कार्य करेगा।"
"Today the Enquiry and Reservation Office will remain closed after 14:00 hours due to scheduled maintenance work.","निर्धारित मेंटेनेंस कार्य के कारण आज पूछताछ एवं आरक्षण कार्यालय दोपहर 14:00 बजे के बाद बंद रहेगा।"
"The Ticket Refund Counter will not function on the first working day of every month owing to system upgradation activities.","सिस्टम उन्नयन कार्यों के कारण प्रत्येक माह के पहले कार्य दिवस पर टिकट रिफंड काउंटर कार्य नहीं करेगा।"
"On account of a local festival administrative offices at this station will remain closed on the mentioned date. Essential services will continue as usual.","स्थानीय त्योहार के उपलक्ष्य में इस स्टेशन के प्रशासनिक कार्यालय उक्त तिथि को बंद रहेंगे। आवश्यक सेवाएँ पूर्ववत जारी रहेंगी।"
"Baggage Booking and Parcel Office will not accept new bookings after 18:00 hours. Passengers are requested to plan accordingly.","बैगेज बुकिंग और पार्सल कार्यालय शाम 18:00 बजे के बाद नई बुकिंग स्वीकार नहीं करेगा। यात्रियों से अनुरोध है कि अपने कार्य समय से पहले निपटा लें।"
"Due to periodic audit public dealing at this office will remain suspended between 11:00 hours and 13:00 hours.","निर्धारित ऑडिट के कारण इस कार्यालय में 11:00 बजे से 13:00 बजे तक जनसंपर्क कार्य स्थगित रहेगा।"
"Important: Reservation counters will remain closed on the specified date for system migration. Online services will remain available.","महत्वपूर्ण: सिस्टम माइग्रेशन के कारण आरक्षण काउंटर निर्दिष्ट तिथि पर बंद रहेंगे। ऑनलाइन सेवाएँ उपलब्ध रहेंगी।"
"The Customer Care and Complaint Cell will remain closed on second Saturdays and official national holidays.","कस्टमर केयर एवं शिकायत प्रकोष्ठ प्रत्येक दूसरे शनिवार तथा आधिकारिक राष्ट्रीय अवकाशों पर बंद रहेगा।"
"Office timings for submission of written applications are from 10:00 hours to 16:00 hours on working days only.","लिखित आवेदन जमा करने का कार्यालय समय केवल कार्य दिवसों पर प्रातः 10:00 बजे से सायं 16:00 बजे तक है।"
"No document verification or pass issuance will be done after the cut‑off time displayed at the counter.","काउंटर पर प्रदर्शित कट‑ऑफ समय के बाद किसी भी प्रकार का दस्तावेज सत्यापन या पास जारी नहीं किया जाएगा।"
"Due to security drill and mock exercise this office section will remain temporarily closed for visitors during the notified period.","सुरक्षा अभ्यास एवं मॉक ड्रिल के कारण अधिसूचित अवधि में यह कार्यालय खंड आगंतुकों के लिए अस्थायी रूप से बंद रहेगा।"
"On the occasion of Independence Day/Republic Day some offices within the premises may function with restricted hours; passengers are advised to check timings in advance.","स्वतंत्रता दिवस/गणतंत्र दिवस के अवसर पर परिसर के कुछ कार्यालय सीमित समय के लिए कार्य कर सकते हैं; यात्रियों से अनुरोध है कि समय पूर्व में ही जांच लें।"
"During night hours only emergency and security‑related counters will remain open; routine queries shall be attended during regular office timings.","रात्रिकालीन अवधि में केवल आपातकालीन एवं सुरक्षा संबंधी काउंटर ही खुले रहेंगे; सामान्य प्रश्नों का निस्तारण नियमित कार्यालय समय में किया जाएगा।"
"This section is temporarily closed for renovation. Services have been shifted to the alternate counter indicated on the signboards.","यह अनुभाग नवीनीकरण कार्य के लिए अस्थायी रूप से बंद है। सेवाएँ साइनबोर्ड पर दर्शाए गए वैकल्पिक काउंटर से प्रदान की जा रही हैं।"
"Please do not share your PIN OTP CVV or internet banking password with anyone including bank staff or callers claiming to be from the bank.","कृपया अपना पिन ओटीपी सीवीवी या इंटरनेट बैंकिंग पासवर्ड किसी से भी साझा न करें यहां तक कि बैंक कर्मियों या बैंक का परिचय देने वाले कॉलर्स से भी नहीं।"
"The bank will never ask you to download any third‑party app or take remote access of your phone for verification.","बैंक कभी भी आपसे किसी थर्ड‑पार्टी ऐप को डाउनलोड करने या आपके फोन का रिमोट एक्सेस देने के लिए नहीं कहेगा।"
"For your safety cover the keypad while entering your PIN at the ATM and ensure that no one is standing too close behind you.","अपनी सुरक्षा के लिए एटीएम पर पिन डालते समय कीपैड को ढकें और सुनिश्चित करें कि कोई भी आपके बिलकुल पीछे खड़ा न हो।"
"Check the card slot keypad and cash outlet before use. If any suspicious device is noticed cancel the transaction and inform the bank immediately.","उपयोग से पहले कार्ड स्लॉट कीपैड और कैश आउटलेट की जांच कर लें। किसी भी संदिग्ध उपकरण के दिखने पर लेन‑देन रद्द करें और तुरंत बैंक को सूचित करें।"
"Please collect your cash card and receipt before leaving the ATM counter. The bank is not responsible for items left behind.","कृपया एटीएम से निकलने से पहले अपना नकद कार्ड और रसीद अवश्य ले लें। पीछे छोड़ी गई वस्तुओं के लिए बैंक जिम्मेदार नहीं होगा।"
